words,links,capital_words,spam_word_count,is_spam
224,2,3,2,0
195,9,0,8,1
178,8,22,10,1
550,4,19,4,1
245,5,6,7,1
269,2,3,2,0
36,2,1,3,0
151,2,1,0,0
243,0,3,2,0
314,9,7,4,1
178,1,1,1,0
66,0,1,2,0
595,3,30,6,1
849,0,30,2,1
149,2,0,0,0
170,10,26,6,1
157,1,2,0,0
115,1,5,0,0
110,5,0,1,0
83,8,14,8,1
325,1,0,2,0
860,5,16,6,1
214,2,0,0,0
169,0,0,2,0
169,0,8,6,0
439,5,7,7,1
121,0,17,4,1
416,3,5,8,1
62,2,2,0,0
274,1,1,0,0
293,1,3,0,0
229,0,1,2,0
751,6,1,9,1
980,2,9,9,1
720,5,12,2,1
21,1,7,3,0
162,5,23,8,1
364,0,1,0,0
162,9,21,4,1
154,2,1,2,0
370,0,2,2,0
683,5,0,2,1
360,2,1,5,0
479,2,2,5,0
174,1,4,2,0
70,2,7,2,0
526,2,24,6,1
140,1,3,4,0
204,0,3,1,0
226,3,5,5,1
182,1,1,1,0
261,1,4,1,0
94,0,0,0,0
203,2,2,0,0
239,1,8,1,0
206,1,1,2,0
207,0,3,1,0
235,0,0,1,0
164,2,26,10,1
209,0,8,1,0
875,8,9,0,1
765,1,26,10,1
202,1,5,3,0
941,9,8,0,1
209,0,2,1,0
298,2,1,6,0
375,1,6,1,0
195,2,1,1,0
490,5,7,7,1
210,0,0,1,0
109,1,2,2,0
757,9,12,7,1
121,0,9,6,0
140,8,25,7,1
195,2,3,0,0
95,6,8,7,1
151,10,8,1,1
101,4,0,5,1
175,0,0,1,0
174,2,2,2,0
469,7,2,10,1
281,1,1,0,0
98,6,3,6,1
199,4,24,8,1
705,2,5,10,1
295,2,1,1,0
233,1,2,0,0
943,10,7,7,1
170,2,2,2,0
829,1,6,6,1
789,10,8,9,1
665,3,4,10,1
297,2,0,2,0
235,1,3,2,0
394,8,27,9,1
274,0,1,1,0
171,4,3,0,0
55,2,1,0,0
101,0,9,2,0
491,0,2,1,0
234,2,5,1,0
141,1,0,3,1
105,1,2,2,0
932,6,7,5,1
103,10,5,7,1
122,2,2,2,0
270,2,2,2,0
292,0,4,0,0
149,3,1,2,0
90,0,2,2,0
101,0,1,1,0
244,2,1,7,1
128,1,24,1,1
25,1,2,1,0
89,2,1,0,0
878,2,4,7,1
696,6,28,8,1
459,7,22,7,1
108,1,2,0,0
120,0,17,6,1
377,1,11,0,1
318,3,2,7,1
279,0,3,1,0
652,8,3,6,1
93,9,22,1,1
214,2,21,10,1
910,1,7,4,1
727,8,11,8,1
53,1,3,2,0
504,3,0,10,1
200,2,2,5,0
415,6,29,6,1
153,3,30,3,1
232,1,2,1,0
439,3,27,9,1
76,9,14,10,1
198,3,22,10,1
500,5,8,7,1
937,3,20,4,1
333,7,14,7,1
84,0,0,0,0
745,2,10,8,1
533,4,5,5,1
687,3,13,1,1
23,0,1,6,0
317,0,1,1,0
432,0,2,0,0
280,2,3,2,0
110,5,0,2,0
138,6,26,0,1
418,7,20,3,1
369,6,9,8,1
309,2,26,7,1
420,2,0,1,0
617,2,14,6,1
206,1,1,0,0
910,8,4,1,1
205,1,0,5,0
326,1,2,0,0
967,9,19,9,1
51,1,1,0,0
247,0,1,4,0
281,2,7,2,0
279,9,14,3,1
259,1,0,2,0
242,4,0,1,0
157,2,16,10,1
97,1,2,0,0
216,1,0,5,0
806,10,23,7,1
657,9,29,3,1
172,0,1,2,0
380,4,4,7,1
128,2,8,3,1
32,0,2,1,0
159,2,2,1,0
65,1,2,1,0
107,2,2,6,0
400,3,22,10,1
335,2,1,10,1
816,0,28,10,1
190,9,22,8,1
297,5,6,2,1
100,1,0,1,0
70,5,13,6,1
205,4,3,3,1
97,7,4,6,1
67,1,0,4,0
442,0,23,5,1
496,2,2,2,0
261,1,3,0,0
177,3,19,4,1
268,0,0,0,0
211,1,2,4,0
194,2,5,1,0
335,0,10,9,1
125,0,0,0,0
38,0,0,2,0
130,1,1,0,0
431,9,21,2,1
140,1,5,4,0
438,3,1,3,1
362,8,23,8,1
147,0,0,1,0
637,8,26,10,1
51,2,24,3,1
209,1,2,0,0
204,1,8,2,0
802,10,30,8,1
731,10,0,8,1
232,2,4,2,0
394,9,5,5,1
179,0,3,0,0
237,3,0,6,0
300,1,4,1,0
173,2,3,0,0
170,10,2,6,1
355,1,27,6,1
130,0,4,2,0
287,5,14,10,1
446,8,3,10,1
100,2,0,2,0
229,0,4,1,0
396,4,16,4,1
196,10,1,8,1
289,0,14,6,1
809,2,5,6,1
242,1,0,0,0
992,9,18,3,1
331,0,3,2,0
53,0,2,4,0
261,0,0,4,0
440,3,25,0,1
699,2,24,5,1
464,7,9,9,1
204,1,2,0,0
701,1,23,7,1
176,2,1,2,0
113,3,3,1,0
55,3,26,7,1
737,2,4,7,1
291,2,2,4,0
125,2,2,2,0
121,5,3,0,0
61,4,17,3,1
217,0,3,0,0
145,1,3,0,0
900,3,13,3,1
177,0,1,1,0
482,2,1,2,0
31,0,3,2,0
744,2,23,0,1
246,1,7,0,0
155,1,1,6,0
240,0,3,5,0
647,5,17,10,1
134,8,21,1,1
74,2,3,4,0
289,1,2,0,0
372,9,21,5,1
862,3,2,4,1
825,5,5,0,1
663,6,22,9,1
80,0,2,2,0
169,2,0,2,0
278,2,0,0,0
247,2,4,5,0
790,9,13,1,1
162,4,25,6,1
126,3,21,9,1
122,4,20,8,1
257,2,0,1,0
574,9,1,5,1
610,8,18,3,1
92,4,5,2,0
83,4,2,0,0
193,1,3,1,0
826,7,5,0,1
242,2,2,1,0
687,2,23,3,1
168,0,0,1,0
123,3,4,7,1
123,4,30,8,1
140,1,2,2,0
604,5,23,8,1
758,7,28,0,1
34,2,1,0,0
176,1,0,0,0
56,1,2,2,0
909,4,25,4,1
267,2,1,0,0
191,1,0,2,0
291,1,3,1,0
120,2,21,3,1
255,0,24,10,1
209,1,2,2,0
203,7,28,3,1
201,1,0,2,0
254,8,5,5,1
102,1,2,0,0
201,0,1,0,0
183,3,30,0,1
351,10,7,4,1
676,5,24,5,1
248,3,19,6,1
529,2,30,9,1
69,4,1,3,0
912,9,5,9,1
123,9,2,6,1
983,3,14,5,1
32,0,4,2,0
243,2,1,2,0
695,2,0,3,1
100,0,2,6,0
192,9,5,10,1
33,1,2,1,0
72,2,3,2,0
878,5,4,5,1
83,2,1,0,0
188,2,2,1,0
720,7,8,10,1
237,1,3,2,0
363,8,9,9,1
42,1,3,1,0
273,4,6,8,1
288,3,1,1,0
160,9,0,3,1
37,0,2,0,0
238,2,2,5,0
157,2,0,2,0
525,3,20,1,1
431,4,5,5,1
296,2,1,2,0
162,1,1,3,0
95,5,1,0,0
296,2,3,1,0
468,9,12,7,1
99,10,8,7,1
328,0,12,6,1
216,10,24,3,1
104,1,3,1,0
174,0,3,6,0
185,2,1,1,0
190,2,27,9,1
88,4,0,1,0
575,5,29,3,1
241,2,0,2,0
225,4,10,2,0
327,7,0,9,1
296,0,0,5,0
891,8,10,3,1
101,1,7,7,1
51,2,6,3,1
764,3,13,3,1
78,1,1,2,0
954,9,8,6,1
42,1,2,2,0
637,2,27,6,1
125,1,1,0,0
452,3,14,4,1
26,2,1,2,0
485,1,0,2,0
174,4,7,2,0
103,4,3,7,1
53,2,16,6,1
627,8,8,6,1
506,4,12,7,1
742,7,6,3,1
222,4,3,2,0
245,0,2,3,0
213,2,8,1,0
161,8,26,9,1
78,8,17,10,1
375,2,0,0,0
111,0,1,6,0
292,1,3,0,0
213,2,10,4,0
167,5,3,4,0
87,0,0,1,0
477,10,15,8,1
189,5,5,7,1
186,2,2,2,0
60,3,25,9,1
933,8,0,3,1
644,8,15,4,1
172,0,0,6,0
284,0,3,6,0
190,1,1,1,0
66,2,14,5,1
243,2,0,0,0
189,0,2,6,0
832,4,16,1,1
867,2,1,8,1
891,3,18,4,1
163,5,0,1,0
81,10,22,8,1
129,1,3,4,0
220,2,0,2,0
541,7,1,3,1
892,7,3,4,1
759,8,11,8,1
190,10,1,4,1
538,2,16,0,1
236,8,19,7,1
652,2,9,6,1
181,7,30,6,1
434,8,20,9,1
160,1,1,0,0
231,1,3,6,0
134,2,3,2,0
228,2,8,6,0
135,3,17,9,1
192,2,3,2,0
685,3,24,10,1
841,4,15,9,1
843,10,3,5,1
240,1,1,1,0
255,8,21,9,1
735,7,28,4,1
471,6,5,5,1
199,2,8,2,0
149,5,21,9,1
180,3,2,0,0
638,6,21,1,1
236,2,1,2,0
757,7,19,6,1
21,0,2,4,0
91,3,3,0,0
186,6,12,4,1
306,0,26,10,1
959,9,28,10,1
723,8,30,6,1
470,1,18,9,1
672,5,13,10,1
952,8,27,5,1
303,2,12,9,1
58,2,1,0,0
631,6,22,0,1
237,2,2,1,0
63,2,3,2,0
115,8,15,9,1
112,3,12,3,1
948,5,26,1,1
194,1,3,1,0
810,7,8,9,1
545,4,4,8,1
163,0,7,1,0
425,6,2,5,1
274,0,0,1,0
857,2,25,0,1
590,5,5,8,1
136,2,0,5,0
37,1,3,2,0
162,5,5,9,1
193,10,7,4,1
153,1,2,0,0
694,3,23,5,1
288,0,3,2,0
718,5,11,9,1
881,2,15,6,1
99,1,0,2,0
547,1,14,3,1
909,1,2,3,1
918,6,1,5,1
210,0,3,0,0
202,0,3,2,0
62,2,10,1,0
139,5,0,1,0
298,2,6,1,0
202,1,1,2,0
46,2,3,1,0
441,0,3,2,0
174,0,2,1,0
188,0,1,0,0
900,2,2,1,1
101,0,1,6,0
220,2,2,1,0
87,1,28,7,1
38,1,3,2,0
170,5,1,0,0
187,2,0,2,0
232,10,26,3,1
68,2,3,2,0
244,6,6,3,1
50,2,6,8,1
60,1,7,3,0
125,2,12,3,1
145,0,16,3,1
182,2,5,4,0
270,2,1,1,0
272,1,1,2,0
359,2,1,0,0
438,4,1,0,0
421,7,17,5,1
50,0,3,4,1
366,0,5,0,0
798,5,12,7,1
213,0,4,0,0
159,1,0,2,0
188,2,1,1,0
476,10,11,8,1
750,2,13,6,1
733,7,9,9,1
178,2,1,2,0
29,4,2,0,0
284,9,26,0,1
122,2,2,2,0
84,2,1,2,0
29,1,2,1,0
185,0,3,0,0
868,7,5,7,1
444,7,15,7,1
632,5,29,5,1
268,0,2,2,0
676,4,9,4,1
167,0,8,1,0
204,2,3,0,0
155,2,17,5,1
531,3,17,7,1
132,3,9,9,1
95,1,3,1,0
587,6,1,10,1
107,2,2,1,0
197,1,10,0,0
275,2,3,0,0
415,5,3,1,0
245,0,0,0,0
371,4,7,6,1
253,2,1,1,0
983,2,11,0,1
967,3,28,3,1
237,1,0,1,0
610,4,25,3,1
163,6,23,3,1
189,2,2,2,0
608,4,29,2,1
78,1,3,1,0
299,1,2,0,0
187,4,28,9,1
285,0,0,2,0
279,2,0,2,0
460,2,9,8,1
66,2,29,3,1
394,3,22,0,1
129,7,18,2,1
632,8,28,8,1
337,0,9,0,0
156,2,2,1,0
166,2,0,1,0
935,8,12,5,1
90,3,7,5,1
248,2,1,2,0
196,7,19,1,1
539,4,4,3,1
170,2,2,2,0
209,2,0,1,0
60,1,3,0,0
771,0,12,8,1
343,0,30,10,1
926,0,20,8,1
109,1,5,2,0
226,2,3,2,0
979,5,1,7,1
195,1,0,0,0
48,5,9,1,0
872,10,17,8,1
909,7,5,2,1
534,3,6,0,1
433,4,3,10,1
728,2,22,3,1
696,7,30,3,1
85,6,4,3,1
555,2,17,3,1
475,2,1,1,0
95,2,3,0,0
98,5,14,5,1
148,0,1,6,0
66,0,0,1,0
78,2,0,2,0
113,2,9,2,0
33,1,6,1,0
237,1,9,2,0
81,10,24,4,1
296,0,1,1,0
92,0,1,2,0
247,0,0,0,0
475,1,16,4,1
281,2,1,1,0
665,7,29,10,1
203,2,2,5,0
204,1,1,3,0
997,2,17,4,1
70,9,17,1,1
897,9,23,10,1
136,9,10,3,1
459,2,7,8,1
211,10,8,5,1
638,4,5,9,1
53,0,0,1,0
191,1,1,2,0
26,1,3,0,0
125,3,26,2,1
514,2,11,3,1
167,2,3,4,0
200,0,1,1,0
246,2,2,2,0
352,2,0,5,0
803,0,16,5,1
277,1,1,0,0
264,1,2,2,0
290,1,2,2,0
251,3,27,6,1
242,2,3,0,0
57,7,5,1,1
816,9,12,5,1
129,10,1,5,1
145,0,0,1,0
204,2,2,2,0
211,1,0,0,0
579,3,7,10,1
132,0,10,0,0
121,1,3,6,0
387,1,3,0,0
81,1,1,2,0
194,0,3,1,0
49,0,0,0,0
87,0,3,0,0
794,4,1,0,1
515,3,2,3,1
994,9,20,1,1
254,0,1,1,0
762,2,25,2,1
184,9,28,7,1
836,1,24,8,1
426,1,3,1,0
231,0,1,2,0
195,7,17,5,1
192,1,3,0,0
386,0,0,1,0
559,5,28,9,1
252,0,0,1,0
188,7,10,7,1
229,1,3,2,0
29,1,1,1,0
560,3,22,9,1
234,1,3,1,0
202,2,3,0,0
298,0,1,1,0
134,1,1,3,0
291,0,3,0,0
765,4,6,10,1
630,6,22,4,1
161,3,9,3,1
85,9,7,3,1
529,5,9,7,1
217,7,23,7,1
158,0,11,6,1
92,5,27,10,1
461,1,2,0,0
165,2,3,0,0
37,1,2,2,0
679,3,16,5,1
205,1,2,0,0
421,2,3,0,0
182,2,5,2,0
288,1,2,5,0
177,10,6,3,1
659,1,13,5,1
32,1,3,1,0
982,4,15,5,1
164,3,0,2,0
206,0,2,0,0
423,1,0,0,0
146,0,1,2,0
133,0,20,6,1
868,10,16,5,1
83,0,3,2,0
892,9,20,3,1
667,1,1,7,1
210,4,0,1,0
208,2,0,2,0
202,0,2,0,0
263,1,3,1,0
772,4,14,2,1
636,7,21,7,1
289,0,0,0,0
869,5,5,3,1
197,7,0,10,1
151,0,4,2,0
747,8,18,5,1
101,8,29,7,1
158,1,3,0,0
202,2,2,0,0
68,1,3,0,0
89,2,2,2,0
758,10,26,0,1
841,2,28,8,1
123,1,3,1,0
388,1,9,8,1
88,7,24,7,1
360,2,27,8,1
223,1,6,3,0
308,1,3,6,0
213,2,3,3,0
220,1,0,0,0
55,0,6,2,0
78,5,19,3,1
227,2,4,1,0
923,2,26,10,1
710,8,12,9,1
132,3,5,10,1
429,4,21,9,1
175,5,6,9,1
784,4,12,10,1
274,4,3,4,0
827,0,26,2,1
857,7,6,9,1
410,5,0,10,1
359,0,1,6,1
329,1,2,1,0
311,2,23,9,1
291,1,2,4,0
184,6,13,3,1
329,3,1,2,0
129,2,1,1,0
170,6,27,7,1
517,2,18,10,1
195,9,14,0,1
269,4,1,2,0
198,4,27,10,1
837,5,2,6,1
183,6,22,6,1
623,3,15,10,1
572,0,5,5,1
809,2,28,6,1
33,1,2,2,0
869,7,12,0,1
533,2,5,4,1
318,9,12,0,1
184,5,1,2,0
399,0,3,2,0
458,1,3,9,1
70,7,1,8,1
855,7,22,4,1
34,1,1,1,0
71,2,0,1,0
496,4,4,0,1
863,2,22,10,1
796,3,25,2,1
45,0,1,2,0
269,2,0,5,0
75,0,2,1,0
889,9,11,6,1
208,4,1,2,0
182,2,0,5,0
138,2,28,7,1
136,6,18,4,1
612,8,28,9,1
52,3,0,2,0
115,0,3,0,0
582,8,24,5,1
169,1,0,6,0
251,1,0,0,0
163,3,1,4,0
106,10,11,10,1
463,8,7,8,1
107,1,0,2,0
146,1,3,2,0
210,2,3,4,0
56,10,2,4,1
90,2,21,6,1
368,2,26,9,1
193,7,18,1,1
283,2,0,3,0
401,0,1,0,0
199,2,2,0,0
602,2,7,5,1
936,3,29,4,1
557,2,25,1,1
103,3,23,4,1
156,1,1,1,0
527,4,20,9,1
293,1,2,1,0
451,1,2,1,0
271,4,4,2,0
820,3,20,6,1
23,0,1,1,0
489,6,15,6,1
53,3,8,4,1
666,3,20,4,1
871,8,6,6,1
114,0,2,0,0
98,0,8,1,0
836,3,6,3,1
943,10,24,9,1
355,5,13,4,1
125,1,0,2,0
953,8,9,4,1
208,2,8,1,0
134,2,22,9,1
250,2,3,6,0
300,2,1,4,0
776,10,9,3,1
184,3,2,2,0
116,1,5,0,0
183,4,2,3,0
212,0,3,3,0
456,5,13,2,1
35,2,3,2,0
392,0,19,1,1
656,6,27,3,1
240,0,0,2,0
633,8,19,7,1
181,1,3,0,0
559,4,19,4,1
20,1,2,2,0
100,3,11,8,1
778,4,28,6,1
259,10,20,7,1
431,1,1,2,0
909,8,13,7,1
368,1,4,1,0
321,9,11,6,1
134,2,1,2,0
118,5,30,7,1
245,5,2,0,0
523,10,19,10,1
177,4,22,2,1
164,1,3,1,0
296,3,17,0,1
361,0,3,0,0
157,8,0,10,1
786,8,9,0,1
37,1,9,1,0
279,2,2,5,0
529,3,0,8,1
734,5,20,5,1
665,8,6,5,1
728,6,5,9,1
75,1,0,2,0
206,1,1,2,0
195,2,28,3,1
208,1,5,2,0
161,5,5,0,0
100,7,20,5,1
233,5,0,0,0
338,2,1,2,0
694,2,16,7,1
226,0,2,2,0
337,1,4,3,1
164,2,4,2,0
127,2,0,4,0
155,2,25,8,1
448,2,11,0,1
678,9,16,3,1
